LabID,SiteName,SiteID,Country,Province,Age,Error,Taxa,Material,Condition,d13C,Method,Source
Beta-62920,Aquiles Serdan,,Mexico,Chiapas,3000,55,Zea mays,kernel,charred,NA,AMS,p3k14c
Beta-62918,Aquiles Serdan,,Mexico,Chiapas,3100,55,Zea mays,kernel,charred,NA,AMS,p3k14c
Beta-62915,Aquiles Serdan,,Mexico,Chiapas,3145,55,Zea mays,kernel,charred,NA,AMS,p3k14c
Beta-62919,Chilo,MZ-17,Mexico,Chiapas,3080,50,Zea mays,kernel,charred,NA,AMS,p3k14c
Beta-62916,Paso de la Amada,,Mexico,Chiapas,3050,55,Zea mays,kernel,charred,NA,AMS,p3k14c
Beta-62914,Paso de la Amada,,Mexico,Chiapas,3135,55,Zea mays,kernel,charred,NA,AMS,p3k14c
Beta-62917,Paso de la Amada,,Mexico,Chiapas,3240,55,Zea mays,kernel,charred,NA,AMS,p3k14c
AA-33923,San Andres,,Mexico,Tabasco,2565,45,Zea mays,kernel,charred,NA,AMS,p3k14c
AA-33925,San Andres,,Mexico,Tabasco,2390,50,Zea mays,cob,NA,NA,AMS,p3k14c
AA-33924,San Andres,,Mexico,Tabasco,2430,35,Zea mays,cob,NA,NA,AMS,p3k14c
AA-33926,San Andres,,Mexico,Tabasco,2505,45,Zea mays,cob,NA,NA,AMS,p3k14c
Beta-62911,San Carlos,,Mexico,Chiapas,3365,55,Zea mays,kernel,charred,NA,AMS,p3k14c
UCIAMS-7033,Cuauhtemoc,,Mexico,Chiapas,3225,15,Zea mays,Maize,charred,NA,AMS,p3k14c
AA-33185,La Playa,SON F:10:3,USA,Arizona,1825,50,Zea mays,maize,NA,NA,NA,Carpenter et al. 2015
AA-33184,La Playa,SON F:10:3,Mexico,Sonora,1885,50,Zea mays,Maize,NA,NA,NA,p3k14c
Beta-325660,Las Capas,AA:12:111,USA,Arizona,2860,30,Zea mays,maize,NA,-24.5,NA,p3k14c
Beta-339689,Las Capas,AA:12:111,USA,Arizona,2490,30,Zea mays,maize,NA,-23.5,NA,p3k14c
Beta-325657,Las Capas,AA:12:111,USA,Arizona,2890,30,Zea mays,maize,NA,-11.4,NA,p3k14c
Beta-292145,Las Capas,AA:12:111,USA,Arizona,2820,30,Zea mays,maize,NA,-11.2,NA,p3k14c
Beta-304541,Las Capas,AA:12:111,USA,Arizona,2920,30,Zea mays,maize,NA,-11.2,NA,p3k14c
