"LabID","SiteName","SiteID","Country","Province","Age","Error","MedianBP","Date","Taxa","Material","Condition","d13C","Method","OneSigma_BP_1","OneSigma_BP_2","OneSigma_BP_3","OneSigma_BP_4","OneSigma_BP_5","OneSigma_BP_6","OneSigma_BP_7","TwoSigma_BP_1","TwoSigma_BP_2","TwoSigma_BP_3","TwoSigma_BP_4","TwoSigma_BP_5","TwoSigma_BP_6","Source"
"A-2791","Bat Cave",NA,"USA","New Mexico",2340,420,2374,-425,"Zea mays","cupule","uncharred",NA,"AMS","2848 to 1868","1853 to 1837",NA,NA,NA,NA,NA,"3351 to 1506","1503 to 1470","1458 to 1414",NA,NA,NA,"Wills 1988"
"A-3070","Fresnal Shelter","LA10101","USA","New Mexico",2540,200,2599,-650,"Zea mays","cob","uncharred",NA,"RADIOMETRIC","2845 to 2821","2789 to 2350",NA,NA,NA,NA,NA,"3145 to 3122","3111 to 3092","3079 to 2116",NA,NA,NA,"p3k14c"
"A-3071","Fresnal Shelter","LA10101","USA","New Mexico",1990,320,1961,-12,"Zea mays","kernel","uncharred",NA,"RADIOMETRIC","2332 to 1587",NA,NA,NA,NA,NA,NA,"2722 to 1340","1333 to 1310",NA,NA,NA,NA,"p3k14c"
"A-3359","Jemez Cave","LA6164","USA","New Mexico",2410,356,2454,-505,"Zea mays","cob","uncharred",NA,NA,"2856 to 1997",NA,NA,NA,NA,NA,NA,"3336 to 3287","3269 to 1691","1671 to 1613",NA,NA,NA,"p3k14c"
"A-3395","Sheep Camp Shelter","LA40178","USA","New Mexico",2170,180,2157,-208,"Zea mays","kernel","uncharred",NA,"AMS","2353 to 1922","1907 to 1891",NA,NA,NA,NA,NA,"2701 to 2631","2617 to 2579","2574 to 2559","2542 to 1732",NA,NA,"p3k14c"
"A-3396","Sheep Camp Shelter","LA40178","USA","New Mexico",2290,210,2312,-363,"Zea mays","kernel","uncharred",NA,"AMS","2696 to 2637","2614 to 2592","2514 to 2049","2017 to 2008",NA,NA,NA,"2776 to 1819","1811 to 1788","1761 to 1749",NA,NA,NA,"p3k14c"
"A-3500","Los Ojitos","EE:2:137 (ASM)","USA","Arizona",2170,170,2156,-207,"Zea mays","kernel","charred",NA,"AMS","2348 to 1930",NA,NA,NA,NA,NA,NA,"2699 to 2634","2615 to 2584","2568 to 2563","2538 to 2524","2522 to 1736",NA,"p3k14c"
"A-3750","Tumamoc Hill","AZ AA:16:6","USA","Arizona",2470,270,2524,-575,"Zea mays","Maize",NA,NA,"AMS","2847 to 2808","2806 to 2298","2261 to 2155",NA,NA,NA,NA,"3205 to 3196","3176 to 1868","1853 to 1838",NA,NA,NA,"p3k14c"
"A-4166","Bat Cave","LA4935","USA","New Mexico",2780,90,2900,-951,"Zea mays","maize cupule",NA,NA,"RADIOMETRIC","2990 to 2986","2964 to 2771",NA,NA,NA,NA,NA,"3148 to 3120","3112 to 3092","3080 to 2744",NA,NA,NA,"p3k14c"
"A-4167","Bat Cave","LA4935","USA","New Mexico",3010,150,3178,-1229,"Zea mays","cupule","uncharred",NA,"RADIOMETRIC","3366 to 3000",NA,NA,NA,NA,NA,NA,"3486 to 2842","2828 to 2784",NA,NA,NA,NA,"p3k14c"
